City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,south hedland,-20.4089,118.5983,27.96,74,3,6.17,AU,1704327229
327,caleta de carquin,-11.0925,-77.6267,22.46,82,85,3.73,PE,1704327229
328,maracaibo,10.6317,-71.6406,27.96,69,47,3.52,VE,1704327230
329,muana,-1.5283,-49.2167,24.66,94,100,2.6,BR,1704327230
330,alta,69.9689,23.2717,-20.41,71,0,4.12,NO,1704327231
331,walvis bay,-22.9575,14.5053,18.5,94,47,2.99,NA,1704327231
332,wad rawah,15.1603,33.1397,20.04,22,5,5.0,SD,1704327232
333,nangloi jat,28.6833,77.0667,8.06,100,0,1.54,IN,1704327232
334,jalalabad,34.4265,70.4515,10.22,22,99,1.1,AF,1704327233
335,la ronge,55.1001,-105.2842,-11.86,72,17,1.03,CA,1704327233
336,rio brilhante,-21.8019,-54.5464,27.09,65,44,2.84,BR,1704327233
337,kursenai,55.985,22.9189,-12.86,84,100,6.58,LT,1704327234
338,osa,57.2829,55.4567,-13.91,95,100,5.93,RU,1704327145
339,lihue,21.9789,-159.3672,26.77,65,0,2.57,US,1704326981
340,hamilton,39.1834,-84.5333,4.41,79,100,7.2,US,1704327235
341,artemovskiy,57.3555,61.8686,-18.91,97,100,3.52,RU,1704327236
342,mabaruma,8.2,-59.7833,23.39,91,1,1.53,GY,1704327237
343,qamdo,31.1667,97.2333,-11.78,41,79,1.62,CN,1704327237
344,la tebaida,4.4527,-75.7875,25.87,94,88,1.59,CO,1704327238
345,ancud,-41.8697,-73.8203,15.06,79,30,2.39,CL,1704327239
346,muynoq,43.7683,59.0214,4.49,63,100,3.72,UZ,1704327239
347,carnarvon,-24.8667,113.6333,27.68,57,0,7.48,AU,1704327035
348,greymouth,-42.4667,171.2,16.83,68,95,2.39,NZ,1704327240
349,east ballina,-28.8667,153.5833,27.11,72,76,4.51,AU,1704327241
350,afaahiti,-17.75,-149.2833,28.93,85,100,7.69,PF,1704327241
351,atafu village,-8.5421,-172.5159,28.65,75,91,4.9,TK,1704327242
352,benghazi,32.1167,20.0667,17.08,71,46,4.17,LY,1704327242
353,puerto colombia,10.9878,-74.9547,27.05,81,88,9.63,CO,1704327243
354,crane,31.3974,-102.3501,10.11,40,78,1.05,US,1704327244
355,ninghai,29.2892,121.4247,4.26,70,3,0.72,CN,1704327244
356,laguna,38.421,-121.4238,13.99,73,0,3.09,US,1704327245
357,floro,61.5996,5.0328,-2.02,40,92,4.63,NO,1704327245
358,chifeng,42.2683,118.9636,-8.04,74,87,3.47,CN,1704327246
359,mount pearl,47.5166,-52.7813,-0.02,84,100,1.54,CA,1704327246
360,sandnessjoen,66.0217,12.6316,-15.71,81,2,9.97,NO,1704327247
361,aljezur,37.3191,-8.8033,15.83,97,100,1.46,PT,1704327247
362,saint john,45.2727,-66.0677,-2.28,88,41,1.21,CA,1704327212
363,sabang,5.8933,95.3214,27.59,76,75,7.12,ID,1704327248
364,amahai,-3.3333,128.9167,28.78,75,87,0.47,ID,1704327248
